"Adolfo Almeida Duran","Processos de construção do conhecimento em sala de aula mediados pela convergência tecnológica: reflexões deste cenário emergente"
"Adriana Carvalho","Mineração de Dados Educacionais: Oportunidades para o Brasil"
"Adriana Justin Cerveira Kampff","O USO DE TÉCNICAS DE RECOMENDAÇÃO EM UM SISTEMA PARA APOIO À APRENDIZAGEM COLABORATIVA"
"Adriana Portella","Estúdio@Web  Um Sistema de Apoio à Prática Educacional Baseado na WEB"
"Adriana SOARES","Aprimoramento Conceitual e Uso de Demonstrações Matemáticas: Um Estudo de Caso Sobre a Geometria Dinâmica e as Pesquisas de Campo com Ambientes Computacionais de Ensino"
"Adriana Vitorino Rossi","Good Results are Possible in Difficult Conditions: Chemistry Classes Computers and Public Schools"
"Alan Silva","Uma Linha de Produto de Software baseada na Web Semântica para Sistemas Tutores Inteligentes"
"Alberto Hokari","EDUCAÇÃO A DISTÂNCIA É PARA TODOS? UM ESTUDO EXPLORATÓRIO SOBRE POSSÍVEIS PREDITORES DO SUCESSO ACADÊMICO"
"Alcione de Paiva Oliveira","A  educação  em  ambientes  virtuais: proposição  de  recursos  computacionais  para  aumentar  a  eficiência  do processo ensinoaprendizado"
"Alexandre Cruz Berg","THE INFORMATICS AND ITS APPLICATIONS IN PHYSICAL EDUCATION"
"Aline Silva De Bona","Abstração Refletida presente na Aprendizagem Cooperativa medida pelo Espaço de Aprendizagem Digital da Matemática"
"Aline Timóteo","Design of a Selfstanding Multimedia Enriched Projector to enhance teaching experience in classroom in Brazilian public schools"
"Alvaro Rabelo Jr.","Educação de Pacientes através de Sistemas de Acesso Público"
"Amanda Meincke Melo","DESIGN COM CRIANÇAS: DA PRÁTICA A UM MODELO DE PROCESSO"
"Américo Talarico Neto","COGNITOR: Um Framework Baseado na Linguagem de Padrões COGLEARN"
"Ana Carolina Bertoletti De Marchi","CVMUZAR  UM AMBIENTE DE SUPORTE A COMUNIDADES VIRTUAIS PARA APOIO À APRENDIZAGEM EM MUSEUS"
"Ana Emilia de Melo Queiroz","Análise da aprendizagem mediada por uma interface educativa voltada para resolução situações aditivas com suporte diagramático."
"Ana Emília de Melo Queiroz","EFEITOS DA MANIPULAÇÃO DIRETA REFLEXIVA NA RESOLUÇÃO DE PROBLEMAS SOBRE ESTRUTURAS ADITIVAS"
"Ana Maria Pereira Cardoso","FACIL: Modelo para avaliação da literacia digital e informacional"
"Ana Paula Brandão Lopes","ESCRITA COOPERATIVA NA PROMOÇÃO DA APRENDIZAGEM"
"Anarosa Alves Franco Brandão","On the Inclusion of Blind People in UML eLearning Activities"
"André Cruz Mendes","Quem tem mais interesse pelo uso da informática na educação? Os professores mais jovens ou os mais velhos? – Um estudo correlacional"
"André Marcos da Silva","A Participatory Methodology to Problemsolving Support System Design in the Organizational Workgroup Context"
"André Pimenta Freire","Implantação de Gestão Descentralizada de Recursos Acadêmicos – um estudo de caso"
"Andrei Thomaz","Devices of immersion in virtual reality environments"
"Andrey Ricardo Pimentel","COGNITIVE MEASURES FOR TEACHING VISUAL CONCEPTS WITH INTELLIGENT TUTORING SYSTEMS"
"Antonio Carlos Mariani","The World of the Actors: a perspective introduction to objectoriented programming"
"Antônio Carlos Mariani","Metodologia para Criação de Roteiros Educativos em Realidade Virtual"
"Antonio Hobmeir Neto","Uma abordagem dialógica para a aquisição de habilidades táticas em jogos educacionais"
"António José Martins","SIMULAÇÕES ONLINE NO ENSINO DA FÍSICA E DA QUÍMICA"
"Antonio José Melo Leite Júnior","Atualizando Dicas Visuais para Coerência Local e Global na Web"
"Aparecido Fabiano Carvalho","COGNITOR: Um Framework Baseado na Linguagem de Padrões COGLEARN"
"Arion de Castro Kurtz dos Santos","A Semiquantitative Dynamic Modeling Experiment with the Use of the Hexagons Technique"
"Avelino Ferreira Gomes Filho","Sabadágil: Métodos Ágeis de Desenvolvimento de Software aplicado ao Ensino"
"Beatriz Corso Magdalena","DISTANCE EDUCATION AND INTERNET IN THE CLASSROOM"
"Bruna de Barros Santos Xavier","Sabadágil: Métodos Ágeis de Desenvolvimento de Software aplicado ao Ensino"
"Bruno Leal Bastos","Robótica Pedagógica e Currículo do Ensino Fundamental: Atuação em uma Escola Municipal do Projeto UCA"
"Bruno Monteiro","AmadeusTV: Portal Educacional na TV Digital Integrado a um Sistema de Gestão de Aprendizado"
"Bruno Silva Leite","Mlearning: o uso de dispositivos móveis como ferramenta didática no Ensino de Química"
"Camila Nunes","Sistemas de Autoria para Construção de Ambientes Interativos de Aprendizagem Baseada em Agentes"
"Carla Valle","Patient Education through Public Access Systems"
"Carlos Alberto Ferreira","Dificuldades durante a produção de eConteúdos para formação em Ciência e Tecnologia: quais são e como solucionálas?"
"Carlos André Guimarães Ferraz","Distributed Coauthoring of&nbsp"
"Carlos Felippe Cardoso de Resende","Sabadágil: Métodos Ágeis de Desenvolvimento de Software aplicado ao Ensino"
"Carlos Machado","ASIM: uma ferramenta de simulação"
"Carlos Machado de Oliveira","COMA  Concepts and Maps"
"Carlos Roberto Lopes","A New Approach to Discover Students Learning Styles in Adaptive Educational Systems"
"Célia Fortes","Design of a Selfstanding Multimedia Enriched Projector to enhance teaching experience in classroom in Brazilian public schools"
"Charles Artur Santos de Oliveira","Sistema de Avaliação Controle e Apoio Didático  SACAD"
"Christian Puhlmann Brackmann","ESTUDO DA EVASÃO NO CURSO DE CIÊNCIA DA COMPUTAÇÃO DA UFRGS"
"christien Lana Rachid","mtutorial: ferramenta de autoria para desenvolvimento de tutoriais voltados para o mlearning"
"Cidcley Teixeira de Souza","LOCPN: REDES DE PETRI COLORIDAS NA PRODUÇÃO DE OBJETOS DE APRENDIZAGEM"
"Clarissa Santana Costa","A TV Digital Interativa como Ferramenta de Apoio à Educação Infantil"
"Claudia Ferlin","MEMORE – Um Ambiente para Apoio ao Acompanhamento da Utilização de Computadores na Educação"
"Claudio Passos","MEMORE – Um Ambiente para Apoio ao Acompanhamento da Utilização de Computadores na Educação"
"Cleusa Aparecida de Oliveira Santos","VirtualMat: um ambiente virtual de apoio ao ensino de matemática para alunos com Deficiência Mental"
"Cristian Kawakami","LIVRE SABER(LiSa): um repositório de recursos educacionais abertos de cursos a distância"
"Cristiane Moura Cruz","Modelo de Desenvolvimento de Objetos de Aprendiagem Baseado em Metodologias Ágeis e Scaffoldings"
"Crystiam Kelle Pereira","PERSONNA: proposta de ontologia de contexto e perfil de alunos para recomendação de objetos de aprendizagem"
"Daniel Lichtnow","O USO DE TÉCNICAS DE RECOMENDAÇÃO EM UM SISTEMA PARA APOIO À APRENDIZAGEM COLABORATIVA"
"Daniel Lico dos Anjos Afonso","Computador de Mão: Um Recurso Didático na Graduação em Medicina"
"Dante Alves Medeiros Filho","Quem tem mais interesse pelo uso da informática na educação? Os professores mais jovens ou os mais velhos? – Um estudo correlacional"
"Darci Levis","APERFEIÇOAMENTO AUTOMÁTICO DO PERFIL DO APRENDIZ EM AMBIENTES DE EDUCAÇÃO UBÍQUA"
"David Moises Barreto dos Santos","Processos de construção do conhecimento em sala de aula mediados pela convergência tecnológica: reflexões deste cenário emergente"
"Débora Maria Barroso Paiva","Implantação de Gestão Descentralizada de Recursos Acadêmicos – um estudo de caso"
"Dilma Menezes da Silva","O Software Educacional e a Psicopedagogia no Ensino de Matemática Direcionado ao Ensino Fundamental"
"Douglas Detoni","Modelagem e Predição de Reprovação de Acadêmicos de Cursos de Educação a Distância a partir da Contagem de Interações"
"Douglas Rehem","Sabadágil: Métodos Ágeis de Desenvolvimento de Software aplicado ao Ensino"
"Douglas Véras","Construindo Aplicações de TLearning Integradas com uma Plataforma Web Educacional Semântica"
"Edgar Marçal Filho","Atualizando Dicas Visuais para Coerência Local e Global na Web"
"Edgard Lamounier Júnior","UMA ARQUITETURA PARA DISTRIBUIÇÃO DE AMBIENTES VIRTUAIS DE REALIDADE AUMENTADA APLICADA À EDUCAÇÃO"
"Edla Maria Faust Ramos","Ergonomic analysis of the system hiperNet looking for the learning of cooperation and autonomy"
"Edmilson Barcelos Rocha","Quantidade de Participantes em Batepapo Educacional: um Modelo Baseado em Teoria de Filas"
"Edson dos Santos Moreira","INFRAESTRUTURA DE SUPORTE À EDITORAÇÃO DE MATERIAL DIDÁTICO UTILIZANDO MULTIMÍDIA"
"Edson Jacinski","Technologies in Education: a pedagogical solution or a problem?"
"Edson Pinheiro Pimentel","UM MODELO PARA INCORPORAÇÃO DE  AUTOMONITORAMENTO DA APRENDIZAGEM EM STI"
"Eduardo Aranha","Ensinoaprendizagem de programação: uma revisão  sistemática da literatura"
"Eduardo Araujo Oliveira","icollaboration: Um modelo de colaboração inteligente personalizada para ambientes de EAD"
"Eduardo Fritzen","Busca Contextualizada Enriquecida com Dados Abertos para Apoiar a Aprendizagem Colaborativa em Redes Sociais"
"Elena Maria Mallmann","REGULARIDADES E TRANSFORMAÇÕES EM HIPERMÍDIA EDUCACIONAL"
"Eliane Pinheiro Capra","Análise de Usabilidade de um Sistema de EaD Baseada em Modelos Markovianos e em Taxonomia"
"Elisa Maria Quartiero","THE INFORMATION TECHNOLOGIES AND COMMUNICATION AND EDUCATION"
"Elisângela Zaniol","DISPOSITIVOS DE IMERSÃO EM AMBIENTES DE REALIDADE VIRTUAL"
"Ellen Suzi Cavalcanti Lima Constantino","CONSTRUÇÃO E UTILIZAÇÃO DE UMA HORTA MEDICINAL ELETRÔNICA NO ENSINO DE CIÊNCIAS"
"Eloi Luiz Favero","COMO USAR ONTOLOGIAS NA AVALIAÇÃO DA APRENDIZAGEM SIGNIFICATIVA MEDIADA POR MAPAS CONCEITUAIS"
"Emília FERREIRA","Aprimoramento Conceitual e Uso de Demonstrações Matemáticas: Um Estudo de Caso Sobre a Geometria Dinâmica e as Pesquisas de Campo com Ambientes Computacionais de Ensino"
"Enoque Calvino Melo Alves","PERCEPÇÃO EM GROUPWARE EDUCACIONAIS"
"Eny Schuch","DISPOSITIVOS DE IMERSÃO EM AMBIENTES DE REALIDADE VIRTUAL"
"Eustáquio São José de Faria","Conflito Sóciocognitivo e Estilos de Aprendizagem na Formação de Grupos para o Aprendizado Colaborativo de Programação de Computadores"
"Evandro de Barros Costa","Um Mecanismo para a Descoberta Automática de Ambientes Educacionais"
"Fabio Roberto Lapolli","Ateliê de Objetos de Aprendizagem : Uma Abordagem para o Ensino de Computação em Cursos Técnicos"
"Fábio Roberto Lapolli","Modelo de Desenvolvimento de Objetos de Aprendiagem Baseado em Metodologias Ágeis e Scaffoldings"
"Felipe Martins Müller","REGULARIDADES E TRANSFORMAÇÕES EM HIPERMÍDIA EDUCACIONAL"
"Fernanda Francielle de Oliveira Malaquias","VirtualMat: um ambiente virtual de apoio ao ensino de matemática para alunos com Deficiência Mental"
"Fernanda Maria Pereira Freire","DEPLOYMENT OF INFORMATION TECHNOLOGY IN THE SCHOOL: emerging issues throughout the process"
"Fernando Antonio Mota Trinta","Coautoria Distribuída de Cursos na Internet"
"Fernando José de Almeida","VISÃO ANALÍTICA DA INFORMÁTICA NA EDUCAÇÃO NO BRASIL: A questão da formação do professor"
"Fernando Pinhati","Plataforma Mignone: Ambiente Virtual de Aprendizagem e Objetos de Aprendizagem Especializados para a Educação Musical"
"Flavia Borges da Silva Benfati","Um Salto no Futuro no Ensino da Administração de Medicamentos: Desenvolvimento de um Programa Instrucional Auxiliado pelo Computador"
"Flávia Linhalis Arantes","Laptops Educacionais em Escolas Públicas: Primeiros Resultados de uma Abordagem Sociotécnica"
"Flávia Maria Santoro","A Framework for Study of Cooperative Learning Support Environments"
"Flávio Moreira de Oliveira","Um Experimento com Agentes de Software para Monitorar a Colaboração em uma Turma Virtual"
"Francisco Edson Lopes da Rocha","HOW TO USE ONTOLOGIES IN ASSESSING MEANINGFUL LEARNING MEDIATED BY CONCEPTUAL MAPS"
"Francisco Petronio Medeiros","Mapeamento Sistemático da Literatura acadêmicocientífica sobre Análise de Redes Sociais aplicada em ELearning"
"Francisco Rodrigues","ESTUDO DA EVASÃO NO CURSO DE CIÊNCIA DA COMPUTAÇÃO DA UFRGS"
"Frederico Kauffmann Barbosa","The Evaluating System Control and Pedagogical Support"
"Geraldo Wellington Fernandes","Dificuldades durante a produção de eConteúdos para formação em Ciência e Tecnologia: quais são e como solucionálas?"
"Germano Mariniello Carvalho","A TV Digital Interativa como Ferramenta de Apoio à Educação Infantil"
"Gianfrancesca Cutini Barcellos","Study and Development of Long Distance Collaborative Learning Environments for the Context of Inclusive Education"
